id,name,scope,input_modality,modality_tags,architecture,architecture_tags,downstream_tasks,training_scale,openness_text,openness,fm_strength,notes,primary_source_url,paper_url,code_url,weights_url,project_url,category,task_tags,openness_label,modelling_paradigm_key,modelling_paradigm,modality_complexity_tier_key,modality_complexity_tier,modality_complexity_score,reported_downstream_task_count,reported_downstream_task_count_basis
clay-v1-5,Clay v1.5,Earth observation foundation model,"Multi-sensor imagery and metadata: Sentinel-1, Sentinel-2, Landsat, NAIP, LINZ, MODIS and other satellite/aerial data; includes location, time, GSD, and band metadata.","[""optical"", ""SAR"", ""aerial""]",Geospatial MAE/ViT with dynamic embedding for arbitrary bands and sensors; two-stage transformer and DINO/teacher-style representation components in v1.5 materials.,"[""Transformer"", ""MAE/MIM""]","Embeddings/fine-tuning for classification, regression, generative tasks, crop and land-cover mapping, above-ground biomass/productivity, change detection, deforestation, wildfire, flood, destruction/urban development monitoring.","About 70M globally sampled image chips; roughly 6,400 H100 GPU-hours reported for training. Token count not reported in TerraMind-style units.",Open source: Apache-2.0-style code/weights model resources reported.,open,Strong EO FM,One of the most practically accessible open geospatial FMs.,https://clay-foundation.github.io/model/,https://clay-foundation.github.io/model/,,,https://clay-foundation.github.io/model/,Vision / multimodal EO FM,"[""land-cover mapping"", ""scene classification"", ""crop-type mapping"", ""change detection"", ""flood mapping"", ""burn-scar mapping"", ""regression / estimation""]",Open,joint_embedding,Joint-embedding / contrastive-predictive encoder,multi_modality,Multi-modality encoders,2,7,task_label_count_fallback
satmae,SatMAE,Earth observation foundation model,"Primarily multispectral satellite imagery, with spatial and temporal grouping variants for Sentinel/fMoW-style data.","[""optical"", ""time series""]",Masked Autoencoder adapted to satellite imagery; grouped patch embedding for spectral and temporal structure.,"[""Transformer"", ""MAE/MIM""]","Scene classification, land-cover classification, semantic segmentation, and transfer to datasets such as EuroSAT, fMoW-Sentinel, BigEarthNet-style classification, and segmentation datasets.",Training uses large RS image corpora such as fMoW-Sentinel/fMoW-RGB depending on variant; exact token count not consistently reported in public summaries.,Open source / partial: code and some pretrained weights available in public repos.,partial,Strong early EO FM,Foundational MAE baseline for many later EO FMs.,https://proceedings.neurips.cc/paper_files/paper/2022/hash/01c561df365429f33fcd7a7faa44c985-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2022/hash/01c561df365429f33fcd7a7faa44c985-Abstract-Conference.html,https://github.com/sustainlab-group/SatMAE,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""multi-label classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,single_modality,Single-modality encoders,1,4,curated_reported_evaluations
satmae,SatMAE++,Earth observation foundation model,Multispectral and temporal satellite image streams; focuses on spectral-temporal adaptation.,"[""optical"", ""time series""]",Improved SatMAE-style masked autoencoding with stronger temporal/spectral reconstruction and transfer.,"[""Transformer"", ""MAE/MIM""]","Scene classification, multi-label classification, segmentation, and temporal/multispectral EO transfer tasks.",Training scale varies by experiment; exact global token count not reported in source reviewed.,Open source / partial.,partial,Strong / partial EO FM,"Useful as an improved MAE family member, but not as broadly multimodal as TerraMind/Galileo.",https://doi.org/10.1109/cvpr52733.2024.02627,https://doi.org/10.1109/cvpr52733.2024.02627,https://github.com/techmn/satmae_pp,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""multi-label classification"", ""time-series analysis""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,single_modality,Single-modality encoders,1,4,task_label_count_fallback
scale-mae,Scale-MAE,Earth observation foundation model,High-resolution optical remote-sensing images with scale/GSD metadata.,"[""optical""]",Masked autoencoder with scale-aware positional encoding; ViT backbone adapted for different spatial resolutions.,"[""Transformer"", ""MAE/MIM""]","Scene classification, semantic segmentation, instance/object detection, and transfer to high-resolution RS benchmarks.",Pretrained on large high-resolution remote-sensing imagery; exact token count not reported in public abstract/source reviewed.,Open source / partial.,partial,Partial / strong for optical HR imagery,Good for spatial-scale robustness; less multimodal.,https://doi.org/10.1109/iccv51070.2023.00378,https://doi.org/10.1109/iccv51070.2023.00378,https://github.com/bair-climate-initiative/scale-mae,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""object detection""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,single_modality,Single-modality encoders,1,4,curated_reported_evaluations
croma,CROMA,Earth observation foundation model,Sentinel-1 SAR and Sentinel-2 multispectral optical imagery.,"[""optical"", ""SAR""]",Contrastive Radar-Optical Masked Autoencoder; dual-modality pretraining with radar-optical alignment.,"[""Transformer"", ""MAE/MIM""]","Land-cover mapping/classification, crop mapping, flood mapping, burn scar/segmentation, and transfer to GEO-Bench/PANGAEA-style tasks.",Pretrained on large aligned Sentinel-1/Sentinel-2 pairs; exact token count not reported in source reviewed.,Open source / partial.,partial,Strong multimodal EO FM,Important radar-optical baseline.,https://arxiv.org/abs/2311.00566,https://arxiv.org/abs/2311.00566,https://github.com/antofuller/CROMA,,,SAR / radar-specialized FM,"[""semantic segmentation"", ""land-cover mapping"", ""scene classification"", ""crop-type mapping"", ""flood mapping"", ""burn-scar mapping""]",Partial / unclear,joint_embedding,Joint-embedding / contrastive-predictive encoder,multi_modality,Multi-modality encoders,2,5,curated_reported_evaluations
skysense,SkySense,Earth observation foundation model,"Multimodal remote-sensing imagery including optical, SAR, multispectral/time-series and high-resolution imagery.","[""optical"", ""SAR"", ""time series""]",Large multimodal RSFM with modular backbones that can be combined or used independently.,[],"16 datasets over 7 tasks; representative tasks include scene classification, land-use/land-cover classification, semantic segmentation, object detection, change detection, crop/agricultural mapping, and disaster/environmental monitoring.",Reported as a billion-scale model pretrained on a curated multimodal RSI dataset of about 21.5M images.,Partial/open: repository available; check exact pretrained-weight availability/licensing.,partial,Strong EO FM,One of the earlier large multimodal RSFMs.,https://openaccess.thecvf.com/content/CVPR2024/html/Guo_SkySense_A_Multi-Modal_Remote_Sensing_Foundation_Model_Towards_Universal_Interpretation_CVPR_2024_paper.html,https://openaccess.thecvf.com/content/CVPR2024/html/Guo_SkySense_A_Multi-Modal_Remote_Sensing_Foundation_Model_Towards_Universal_Interpretation_CVPR_2024_paper.html,https://github.com/Jack-bo1220/SkySense,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""crop-type mapping"", ""object detection"", ""change detection""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,7,curated_reported_evaluations
skysense,SkySense++,Earth observation foundation model,Multimodal remote-sensing images; expanded multimodal corpus relative to SkySense.,[],Scaled-up SkySense-style multimodal RSFM.,[],"Reported to improve across 12 EO tasks. Representative task families: classification, segmentation, object detection, change detection, crop/agriculture, disaster/environment monitoring.",Secondary sources report around 27M multimodal images; exact tokens not reported.,Partial / unclear: verify official checkpoint status before use.,partial,Strong / emerging EO FM,"Included because it appears in 2025/2026 surveys, but source details need careful paper verification.",https://www.nature.com/articles/s42256-025-01078-8,https://www.nature.com/articles/s42256-025-01078-8,https://github.com/kang-wu/SkySensePlusPlus,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""crop-type mapping"", ""object detection"", ""change detection""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,12,curated_reported_evaluations
skysense-v2,SkySense V2,Earth observation foundation model,Unified multimodal remote-sensing inputs with varying resolutions and modality prompts.,"[""text""]","Single Transformer backbone; adaptive patch merging, learnable modality prompt tokens, MoE module, SSL tailored for RS images.","[""Transformer""]","16 datasets over 7 tasks; task families include scene classification, land-cover/land-use classification, semantic segmentation, object detection, change detection, crop/agricultural mapping, and disaster/environmental applications.",Exact token count not in public abstract; model reports broad multimodal pretraining and average improvement over SkySense.,Partial / likely open paper; verify code/weights status.,partial,Strong EO FM,Good row for newest SkySense family; avoid merging with original SkySense.,https://arxiv.org/abs/2507.13812,https://arxiv.org/abs/2507.13812,,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""crop-type mapping"", ""object detection"", ""change detection""]",Partial / unclear,vision_language,Vision-language / EO MLLM,vision_language,Vision-language / MLLM,3,16,extracted_from_description
spectralgpt,SpectralGPT,Earth observation foundation model,"Spectral / multispectral / hyperspectral remote-sensing images; supports varying image size, resolution, time series, and regions.","[""optical"", ""time series""]",3D generative pretrained Transformer/GPT for spatial-spectral token generation and multi-target reconstruction.,"[""Transformer"", ""MLLM"", ""Diffusion/Generative""]","Four downstream tasks: single-label scene classification, multi-label scene classification, semantic segmentation, and change detection.",Trained on 1M spectral RS images; models over 600M parameters.,Open source / partial: paper and some implementations/checkpoints; verify official checkpoint license.,partial,Strong spectral EO FM,Strong if your table covers spectral FMs; less multimodal across sensors.,https://doi.org/10.1109/tpami.2024.3362475,https://doi.org/10.1109/tpami.2024.3362475,https://github.com/danfenghong/IEEE_TPAMI_SpectralGPT,,,Spectral / hyperspectral FM,"[""semantic segmentation"", ""scene classification"", ""multi-label classification"", ""change detection""]",Partial / unclear,vision_language,Vision-language / EO MLLM,single_modality,Single-modality encoders,1,4,curated_reported_evaluations
spectralearth,SpectralEarth,Earth observation foundation model,"Hyperspectral EnMAP imagery, multi-temporal patches.","[""optical"", ""time series""]",Hyperspectral FM suite using SSL backbones plus spectral adapters.,[],Four downstream datasets for land-cover and crop-type mapping; cross-sensor generalization and HSI classification/segmentation tasks.,"538,974 image patches, 415,153 unique locations, >11,636 EnMAP scenes over 2 years; 17.5% multi-temporal locations.","Open source planned/reported: dataset, models and code to be made public.",open,Strong hyperspectral EO FM,Important HSI-specific foundation model/dataset row.,https://doi.org/10.1109/jstars.2025.3581451,https://doi.org/10.1109/jstars.2025.3581451,https://github.com/zhu-xlab/softcon,,,Spectral / hyperspectral FM,"[""semantic segmentation"", ""scene classification"", ""crop-type mapping""]",Open,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,3,task_label_count_fallback
hypersigma,HyperSIGMA,Earth observation foundation model,Hyperspectral imagery.,"[""optical""]","Hyperspectral foundation model with spectral-spatial representation learning, adapted from vision foundation techniques.",[],"Hyperspectral classification, segmentation, target/anomaly detection and transfer across HSI datasets.",Large HSI pretraining corpus; exact public token count not reported in reviewed source.,Open source / partial.,partial,Strong hyperspectral FM,Include as HSI branch; verify exact task list from paper for publication.,https://arxiv.org/abs/2406.11519,https://arxiv.org/abs/2406.11519,https://github.com/WHU-Sigma/HyperSIGMA,,,Spectral / hyperspectral FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,single_modality,Single-modality encoders,1,2,task_label_count_fallback
s2mae,S2MAE,Earth observation foundation model,Sentinel-2 multispectral imagery.,"[""optical""]",Sentinel-2 masked autoencoder with spectral-aware patch masking/reconstruction.,"[""Transformer"", ""MAE/MIM""]","Land-cover classification, scene classification, semantic segmentation and Sentinel-2 transfer tasks.",Pretraining scale not clearly reported in registry source; token count not reported.,Open source / partial.,partial,Partial / early EO FM,Sensor-specific MAE baseline.,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_S2MAE_A_Spatial-Spectral_Pretraining_Foundation_Model_for_Spectral_Remote_Sensing_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_S2MAE_A_Spatial-Spectral_Pretraining_Foundation_Model_for_Spectral_Remote_Sensing_CVPR_2024_paper.pdf,,,,Spectral / hyperspectral FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,single_modality,Single-modality encoders,1,2,task_label_count_fallback
seco,SeCo,Earth observation foundation model,Multispectral Sentinel-2 image time series.,"[""optical"", ""time series""]",Seasonal contrastive self-supervised learning using temporal views of the same location.,[],"Scene classification, land-cover mapping, crop classification, and transfer to downstream RS tasks.",Large unlabeled Sentinel-2 time-series pretraining; exact token count not in source reviewed.,Open source / partial.,partial,Pre-FM / partial EO FM,"Important predecessor, but not always counted as a full FM under strict modern definitions.",https://arxiv.org/abs/2103.16607,https://arxiv.org/abs/2103.16607,,,,Vision / multimodal EO FM,"[""land-cover mapping"", ""scene classification"", ""crop-type mapping""]",Partial / unclear,joint_embedding,Joint-embedding / contrastive-predictive encoder,multi_modality,Multi-modality encoders,2,3,task_label_count_fallback
satlaspretrain-satlasnet,SatlasPretrain / SatlasNet,Earth observation foundation model,"Global satellite imagery, mainly optical/multispectral, with labels from a large geospatial atlas.","[""optical""]",Large-scale pretraining for geospatial computer vision; multitask supervised/self-supervised components depending on version.,[],"Object detection, land-cover/land-use classification, segmentation, building/road/solar/wind and other map-feature extraction tasks.",Large global Satlas corpus; exact token count not reported in the same way as TerraMind.,Open source / partial: datasets/models available with license constraints.,partial,Strong geospatial CV FM / partial EO FM,"Excellent for map-feature extraction, less universal multimodal EO.",https://satlas.allen.ai/,https://satlas.allen.ai/,,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification"", ""object detection""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,3,task_label_count_fallback
gfm-billion-scale-rsfm,GFM / Billion-scale RSFM,Earth observation foundation model,High-resolution optical remote-sensing imagery.,"[""optical""]","Scaled ViT foundation model family, including 86M, 605M, 1.3B, and 2.4B parameter models.","[""Transformer""]",Rotated object detection on DOTA v2.0 and DIOR-R; semantic segmentation on Potsdam and LoveDA.,"Model sizes 86M, 605M, 1.3B, 2.4B parameters; exact image/token count not in abstract snippet reviewed.",Open source / partial: verify exact weight release.,partial,Partial / strong optical RS FM,Scale study more than a broad multimodal EO model.,https://arxiv.org/abs/2304.05215,https://arxiv.org/abs/2304.05215,,,,Vision / multimodal EO FM,"[""semantic segmentation"", ""object detection""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
mmearth-mp-mae,MMEarth / MP-MAE,Earth observation foundation model,12+ multimodal EO/geospatial modalities depending on dataset version; optical imagery with auxiliary geospatial modalities.,"[""optical""]",Multi-Pretext Masked Autoencoder using ConvNeXt V2; learns optical representations from multimodal pretext tasks.,"[""Transformer"", ""MAE/MIM""]",Image classification and semantic segmentation; also used/extended in MMEarth-Bench for five multimodal environmental tasks.,"MMEarth pretraining dataset: 1.2M global locations. MMEarth-Bench: five tasks, 12 modalities, global in-/out-of-distribution splits.",Open source / partial: dataset/code/project resources linked.,partial,Strong multimodal pretraining dataset/model,More a model+dataset pretext framework than a single widely deployed checkpoint.,https://doi.org/10.1007/978-3-031-73039-9_10,https://doi.org/10.1007/978-3-031-73039-9_10,,,https://vishalned.github.io/mmearth/,Vision / multimodal EO FM,"[""semantic segmentation"", ""scene classification""]",Partial / unclear,transformer_masked,Transformer / masked-reconstruction encoder,multi_modality,Multi-modality encoders,2,2,task_label_count_fallback
